iter	Passed	Remaining
192	311	1301
193	312	1297
194	313	1294
195	314	1291
196	316	1289
197	318	1288
198	319	1284
199	320	1281
200	321	1277
201	323	1276
202	324	1275
203	325	1271
204	327	1268
205	328	1265
206	329	1262
207	330	1259
208	332	1259
209	334	1256
210	335	1253
211	337	1252
212	339	1252
213	340	1249
214	341	1247
215	342	1244
216	344	1241
217	345	1239
218	347	1237
219	348	1234
220	349	1232
221	351	1233
222	354	1234
223	356	1234
224	357	1231
225	358	1228
226	360	1226
227	361	1224
228	363	1225
229	365	1223
230	367	1222
231	369	1223
232	371	1223
233	373	1223
234	375	1223
235	378	1223
236	380	1224
237	381	1222
238	383	1220
239	385	1219
240	387	1219
241	392	1228
242	393	1227
243	396	1229
244	399	1230
245	401	1229
246	402	1227
247	404	1226
248	407	1228
249	408	1226
250	410	1224
251	411	1222
252	414	1223
253	418	1227
254	419	1226
255	423	1230
256	425	1230
257	427	1229
258	429	1229
259	432	1230
260	434	1229
261	436	1230
262	438	1229
263	440	1228
264	442	1226
265	444	1225
266	445	1224
267	448	1225
268	450	1225
269	453	1225
270	455	1225
271	457	1224
272	460	1225
273	462	1224
274	464	1225
275	467	1227
276	469	1225
277	470	1222
278	472	1220
279	474	1219
280	477	1221
281	478	1219
282	480	1217
283	483	1217
284	484	1215
285	486	1213
286	488	1214
287	490	1212
288	491	1209
289	493	1207
290	494	1204
291	496	1202
292	497	1201
293	500	1201
294	502	1200
295	505	1201
296	507	1202
297	509	1200
298	512	1201
299	514	1199
300	515	1197
301	518	1198
302	521	1198
303	522	1197
304	524	1194
305	527	1195
306	529	1194
307	530	1192
308	532	1190
309	534	1189
310	536	1188
311	537	1186
312	539	1183
313	541	1183
314	543	1181
315	545	1180
316	546	1177
317	549	1179
318	551	1177
319	553	1175
320	555	1174
321	557	1173
322	560	1174
323	561	1171
324	563	1171
325	565	1169
326	567	1167
327	568	1164
328	570	1163
329	572	1161
330	574	1161
331	576	1159
332	578	1159
333	580	1157
334	582	1155
335	583	1152
336	585	1151
337	586	1149
338	588	1147
339	589	1144
340	591	1142
341	593	1142
342	595	1141
343	597	1138
344	598	1136
345	600	1135
346	603	1135
347	604	1133
348	606	1131
349	608	1130
350	611	1129
351	612	1128
352	614	1126
353	616	1125
354	618	1124
355	620	1122
356	622	1121
357	624	1119
358	626	1119
359	628	1116
360	630	1115
361	632	1114
362	633	1112
363	635	1109
364	636	1107
365	638	1106
366	641	1106
367	643	1104
368	645	1103
369	647	1101
370	648	1099
371	649	1096
372	650	1094
373	653	1093
374	654	1091
375	656	1089
376	657	1087
377	659	1085
378	661	1083
379	662	1081
380	664	1078
381	665	1076
382	666	1074
383	668	1072
384	670	1070
385	671	1068
386	673	1066
387	675	1065
388	677	1063
389	679	1063
390	681	1062
391	684	1061
392	686	1059
393	687	1057
394	690	1057
395	692	1055
396	693	1053
397	695	1051
398	697	1050
399	699	1048
400	701	1047
401	703	1046
402	707	1047
403	709	1046
404	710	1044
405	713	1044
406	714	1041
407	716	1039
408	717	1036
409	719	1034
410	721	1033
411	722	1030
412	723	1028
413	725	1027
414	728	1027
415	730	1025
416	732	1024
417	734	1022
418	736	1021
419	737	1018
420	739	1016
421	740	1014
422	742	1013
423	744	1011
424	745	1008
425	747	1006
426	748	1004
427	750	1002
428	751	1000
429	752	998
430	754	995
431	755	993
432	758	993
433	759	990
434	761	988
435	762	986
436	763	984
437	766	983
438	767	981
439	768	978
440	770	976
441	771	973
442	773	972
443	774	969
444	775	967
445	777	965
446	778	963
447	780	961
448	782	959
449	783	957
450	784	955
451	785	952
452	787	950
453	788	948
454	790	946
455	791	944
456	792	942
457	794	939
458	795	937
